iter	Passed	Remaining
405	7449	10899
406	7464	10876
407	7480	10854
408	7493	10827
409	7517	10818
410	7533	10795
411	7553	10780
412	7567	10756
413	7582	10732
414	7598	10711
415	7614	10689
416	7633	10671
417	7649	10650
418	7664	10628
419	7680	10606
420	7696	10585
421	7713	10564
422	7730	10545
423	7748	10525
424	7771	10514
425	7789	10496
426	7807	10477
427	7824	10456
428	7845	10442
429	7866	10427
430	7886	10412
431	7900	10388
432	7914	10364
433	7932	10345
434	7949	10325
435	7965	10303
436	7983	10284
437	8003	10268
438	8020	10248
439	8040	10233
440	8056	10212
441	8083	10204
442	8103	10188
443	8120	10168
444	8134	10145
445	8150	10124
446	8164	10100
447	8179	10078
448	8199	10062
449	8219	10045
450	8241	10032
451	8267	10023
452	8289	10010
453	8310	9995
454	8326	9973
455	8343	9953
456	8360	9934
457	8380	9917
458	8397	9897
459	8417	9881
460	8438	9865
461	8460	9852
462	8482	9838
463	8502	9821
464	8523	9807
465	8544	9791
466	8564	9775
467	8583	9757
468	8601	9738
469	8619	9720
470	8642	9706
471	8659	9687
472	8682	9673
473	8707	9663
474	8726	9645
475	8745	9626
476	8766	9612
477	8786	9594
478	8803	9575
479	8823	9559
480	8844	9543
481	8862	9524
482	8884	9509
483	8904	9493
484	8924	9476
485	8941	9457
486	8963	9442
487	8976	9418
488	8992	9396
489	9010	9378
490	9025	9355
491	9042	9336
492	9065	9322
493	9084	9305
494	9104	9288
495	9122	9269
496	9144	9254
497	9165	9239
498	9186	9223
499	9207	9207
500	9225	9189
501	9249	9175
502	9265	9154
503	9281	9134
504	9301	9116
505	9326	9104
506	9348	9090
507	9382	9086
508	9397	9065
509	9422	9053
510	9446	9040
511	9472	9028
512	9488	9007
513	9509	8991
514	9529	8974
515	9551	8959
516	9571	8942
517	9597	8930
518	9621	8917
519	9643	8901
520	9675	8895
521	9700	8882
522	9730	8875
523	9758	8864
524	9783	8851
525	9803	8834
526	9921	8905
527	9957	8901
528	9975	8882
529	9994	8863
530	10013	8844
