iter	Passed	Remaining
0	26	768
1	47	662
2	68	620
3	89	583
4	110	551
5	129	519
6	149	490
7	169	466
8	187	437
9	207	414
10	226	391
11	247	370
12	266	348
13	284	325
14	306	306
15	326	285
16	346	264
17	366	244
18	382	221
19	403	201
20	424	181
21	444	161
22	461	140
23	478	119
24	500	100
25	521	80
26	540	60
27	561	40
28	580	20
29	600	0
